field_1,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword,is_heat_related,field_25,geometry,BG1,BG2,BG3,BG4,BG5,BG6,weight1,weight2,weight3,weight4,weight5,weight6,bot_score,VADAR_sentiment
,17030,330625,330625,148,https://twitter.com/danielletsb/status/1536816796719845380,@danielletsb,2022-06-14T21:04:11.000Z,It’s so nice to be back in-person in sunny Austin for #ZilliantMindShare ,,1,30.261922940519696,-97.73975211,1655258651,2022,6,14,21,4,11,True,sunny,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.8,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.7089}"
,17111,408434,408434,2371,https://twitter.com/Christo46116978/status/1536849184439017473,@Christo46116978,2022-06-14T23:12:53.000Z,"As he passed and I see what love needs me to. 
@CIA
 @GeorgeHWBush
 @JennaBushHager
 all the way back go 1525 chipmunk were robert burns and Diane crumly both friends of the Bush family publicist or http://writer.im sure there's paperwork in my father's desk if you can get",,,30.44635585773107,-97.68507697,1655266373,2022,6,14,23,12,53,True,burn,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,3.0,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.8625}"
,17161,408424,408424,2361,https://twitter.com/Christo46116978/status/1536868972871696385,@Christo46116978,2022-06-15T00:31:31.000Z,"@GovAbbott
 so it appears there's a stalemate in play Russia has Ukraine snd Ukraine has Texas by the balls only if what I say is true then they have not even been tampered with yet there showing Texas heat would happen if they don't pay hush money got 53billion dollars for whatr",,,30.44635585773107,-97.68507697,1655271091,2022,6,15,0,31,31,True,heat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,3.0,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.6701}"
,17182,1746,1746,0,https://twitter.com/toddinsports/status/1536888101611741184,@toddinsports,2022-06-15T01:47:32.000Z,Look at this advisory posted at the Pedernales Falls Stare Park   #hot #summer days,,1,30.307634448532657,-98.02016356,1655275652,2022,6,15,1,47,32,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,17186,317182,317182,303,https://twitter.com/cwexplore/status/1536893057253134337,@cwexplore,2022-06-15T02:07:13.000Z,"Great to be in Texas for the first time
despite the crazy heatwave! It was 40°C yesterday which is a far cry from the Siberian winter a couple of months ago. I'm here in Austin for a couple of days for something exciting. More news soon…",,17,30.27458843,-97.74319152,1655276833,2022,6,15,2,7,13,True,heat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.9,"{'neg': 0.057, 'neu': 0.767, 'pos': 0.176, 'compound': 0.7599}"
,17221,435900,435900,396,https://twitter.com/keylimepancakes/status/1536945532760907776,@keylimepancakes,2022-06-15T05:35:44.000Z,It’s soo hot here,,3,30.203470370858327,-97.6685256,1655289344,2022,6,15,5,35,44,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,17245,304397,304397,11,https://twitter.com/MAHI_VIBE679/status/1537025077727870978,@MAHI_VIBE679,2022-06-15T10:51:49.000Z,"Life can be a different weather pattern...sometimes sunny, windy or even rainy...enjoy it while u can 

Pc:tagged 

Edit by: 
@mahi_boe
 

#request #simple #picsart #picsfortheday #youtube #chooseclassic2bclassic https://instagram.com/p/Ce0r8I2v9ru/?igshid=YTgzYjQ4ZTY=…",,1,30.296275868701777,-97.74651702,1655308309,2022,6,15,10,51,49,True,sunny,,,,484530019113,484530019231.0,,,,,0.6317568495674101,0.3682431504326206,,,,,1.9,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4215}"
,17506,298660,298660,3508,https://twitter.com/cmeslalom/status/1537222811751686147,@cmeslalom,2022-06-15T23:57:33.000Z,"Griilin’ but not chillin’….the heat is on in Central Texas! @ Austin, Texas https://instagram.com/p/Ce2F3B0s4MhMXB_E1mxhrNvBWf_Uw4x4zwvEXU0/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281,1655355453,2022,6,15,23,57,33,True,heat,,,,484530319003,,,,,,1.0000000000000002,,,,,,2.8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,17546,355370,355370,207,https://twitter.com/ttrentham/status/1537264588890185729,@ttrentham,2022-06-16T02:43:33.000Z,"+1 - open Mabel Davis! I’m roasting and my kid needs practice that we can walk to! 
@CM_Renteria",,1,30.22396078643448,-97.73303775,1655365413,2022,6,16,2,43,33,True,roasting,,,,484530019113,484530019231.0,,,,,0.6317568495674101,0.3682431504326206,,,,,0.7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,17618,408371,408371,2308,https://twitter.com/MiGrant/status/1537418548427083776,@MiGrant,2022-06-16T12:55:20.000Z,Gonna start complaining about the heat in Kelvin.,,,30.44635585773107,-97.68507697,1655402120,2022,6,16,12,55,20,True,heat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.3,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.2023}"
,18107,59454,59454,15,https://twitter.com/JessiPagel/status/1537840059772153856,@JessiPagel,2022-06-17T16:50:16.000Z,"Thanks @camerareadycosmetics for having my favorite products and shipping them quick! This summer is a hot one!!! These 
@skindinavia
 skin sprays are EVERYTHING!!! @ West Lake Hills, Texas",,,30.293173309216424,-97.80058523,1655502616,2022,6,17,16,50,16,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.2,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.7946}"
,18272,408286,408286,2223,https://twitter.com/colmmcsky/status/1537944043669204998,@colmmcsky,2022-06-17T23:43:28.000Z,Enjoying a banana split on a hot Texas summer day,,1,30.44635585773107,-97.68507697,1655527408,2022,6,17,23,43,28,True,hot,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,0.3,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5267}"
,18284,298562,298562,3410,https://twitter.com/MikeDCully/status/1537954445178249218,@MikeDCully,2022-06-18T00:24:48.000Z,"Pretty much sums up the day here in #Austin. That's what I get for going for a run when it's 100+ outside. #austin  #hot @ Austin, Texas",,,30.26832471419792,-97.74867281,1655529888,2022,6,18,0,24,48,True,hot,,,,484530013071,484530013073.0,,,,,0.5083502161365404,0.4916497838634379,,,,,0.1,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.4939}"
,18378,46573,46573,479,https://twitter.com/OnlyTreyLew/status/1538154086452846593,@OnlyTreyLew,2022-06-18T13:38:06.000Z,Partaking in any Drake discourse via sm is a L/L cuz you either a meatrider or a dry hater & nobody WANTS to be either ,,,30.22837634772502,-97.81937041,1655577486,2022,6,18,13,38,6,True,dry,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.1,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.4215}"
,18447,298539,298539,3387,https://twitter.com/chachiuzcategui/status/1538211871131680768,@chachiuzcategui,2022-06-18T17:27:43.000Z,"I have to say I don’t like to show much, but the weather made me do it . @ Austin, Texas",,,30.26832471419792,-97.74867281,1655591263,2022,6,18,17,27,43,True,weather,,,,484530454002,484530454001.0,,,,,0.9822600281345266,0.017739972,,,,,0.9,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1901}"
,18534,455543,455543,3,https://twitter.com/66Betty/status/1538263748514816000,@66Betty,2022-06-18T20:53:51.000Z,"Hot day, cold beer.",,10,30.449179059825976,-97.60928038,1655603631,2022,6,18,20,53,51,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,18560,429738,429738,43,https://twitter.com/iwaspoisoned_/status/1538280857479393283,@iwaspoisoned_,2022-06-18T22:01:50.000Z,"Panda Express, Uber Eats - Austin, Texas - I ordered Indian food and the driver delivered the wrong order. I was so hungry that I decided to eat the wrong order.... Food Poisoning https://iwaspoisoned.com/i/Kz4ybEg #pandaexpress #ubereats #nausea #diarrhea #vomiting #cramps",,,30.406551319627194,-97.67479276,1655607710,2022,6,18,22,1,50,True,cramps,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,1.5,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.875}"
,18567,389708,389708,18,https://twitter.com/Lungs_N_Livers/status/1538285480994914305,@Lungs_N_Livers,2022-06-18T22:20:13.000Z,"Great for a 100 degree day in Austin!! - Drinking a Native Texan Pilsner by 
@indybrewing
 at 
@lustrepearl
  —",,1,30.25354052,-97.71285587,1655608813,2022,6,18,22,20,13,True,degree,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,1.5,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6892}"
,18594,298519,298519,3367,https://twitter.com/mike51r/status/1538301566838505475,@mike51r,2022-06-18T23:24:08.000Z,"Backyard Upgrade! It has been unbearably hot in Texas, so I got a pool. Only $90. Best investment ever! #poolparty #relaxing #summervibes @ Austin, Texas",,,30.26832471419792,-97.74867281,1655612648,2022,6,18,23,24,8,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.8,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.8395}"
,18595,466667,466667,0,https://twitter.com/not_blaine/status/1538301659192901632,@not_blaine,2022-06-18T23:24:30.000Z,Thinking about climate change ,,1,30.40099680714553,-97.57570921,1655612670,2022,6,18,23,24,30,True,climate,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,18605,374558,374558,313,https://twitter.com/mikepirtleeng/status/1538316039624216577,@mikepirtleeng,2022-06-19T00:21:39.000Z,"@AustinFC
 on a Saturday evening.  The team is in Montreal.  The radio crew is in Austin.  It’s a bit warmer here…",,6,30.38717061808825,-97.72192347,1655616099,2022,6,19,0,21,39,True,warm,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.4,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}"
,18804,376416,376416,6,https://twitter.com/sexythic1/status/1538593367977771014,@sexythic1,2022-06-19T18:43:39.000Z,"In this Texas heat, y’all better be tipping your curbside drivers!!",,1,30.23740656313576,-97.72386569,1655682219,2022,6,19,18,43,39,True,heat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,1.4,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.5399}"
,18810,318215,318215,313,https://twitter.com/werefriendzone/status/1538595167925682176,@werefriendzone,2022-06-19T18:50:48.000Z,"I’m literally sweating tequila rn god damn what a night 

: 
@BrysonValencia",,4,30.269175193553867,-97.74326049,1655682648,2022,6,19,18,50,48,True,sweat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.1,"{'neg': 0.182, 'neu': 0.676, 'pos': 0.142, 'compound': -0.1531}"
,18815,298480,298480,3328,https://twitter.com/RHolloe/status/1538598853364039682,@RHolloe,2022-06-19T19:05:27.000Z,"It’s so fucking hot outside why’d we choose today to garden. @ Austin, Texas",,,30.26832471419792,-97.74867281,1655683527,2022,6,19,19,5,27,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,3.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,18922,450009,450009,0,https://twitter.com/vfacundo/status/1538700088662450177,@vfacundo,2022-06-20T01:47:43.000Z,"@ScottFisherFOX7
 @fox7austin
 @zackshieldsFOX7
 We got a little rain today! 
@atxwxgirl
 @weatherchannel",,64,30.139872356091846,-97.62622545,1655707663,2022,6,20,1,47,43,True,weather,,,,484530012001,484530012005.0,,,,,0.5803165875477809,0.4196834124522192,,,,,0.1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,19015,345909,345909,618,https://twitter.com/Sethersk82/status/1538879336459165696,@Sethersk82,2022-06-20T13:39:59.000Z,"Hello from campus, it’s hot as hell! ",,,30.284425917449305,-97.7340622,1655750399,2022,6,20,13,39,59,True,hot,,,,484530013123,,,,,,1.0000000000000002,,,,,,0.1,"{'neg': 0.449, 'neu': 0.551, 'pos': 0.0, 'compound': -0.7088}"
,19091,345907,345907,616,https://twitter.com/Sethersk82/status/1538949018805538816,@Sethersk82,2022-06-20T18:16:53.000Z,It’s too hot out to go visit the turtles. I hope everyone is having a good day. Remember to be kind today.,,2,30.284425917449305,-97.7340622,1655767013,2022,6,20,18,16,53,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.1,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.8481}"
,19127,93506,93506,9,https://twitter.com/zoforaustin/status/1538977964150374406,@zoforaustin,2022-06-20T20:11:54.000Z,"Not even the summer HEAT can stop this team!

Thank you to all who came out yesterday for our bootcamp fundraiser. I had a blast chatting about the issues and coming together before we knock out this fundraising period.

141 days to the election!",,11,30.24408476084478,-97.76158048,1655773914,2022,6,20,20,11,54,True,heat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.4,"{'neg': 0.047, 'neu': 0.888, 'pos': 0.065, 'compound': 0.2225}"
,19132,66748,66748,21,https://twitter.com/castillo_ab3l/status/1538978870560432128,@castillo_ab3l,2022-06-20T20:15:30.000Z,It should be illegal to push carts in this heat,,8,30.16945209420105,-97.78949527,1655774130,2022,6,20,20,15,30,True,heat,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.4,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5574}"
,19181,317172,317172,293,https://twitter.com/bglanzmann/status/1539009700913717258,@bglanzmann,2022-06-20T22:18:00.000Z,Scorching hot at in Austin! @ Texas State Capitol,,,30.27458843,-97.74319152,1655781480,2022,6,20,22,18,0,True,hot,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,19510,54214,54214,379,https://twitter.com/MCKGaston/status/1539397251075739648,@MCKGaston,2022-06-21T23:57:59.000Z,I thrive in the heat,,16,30.29054884186632,-97.80962178,1655873879,2022,6,21,23,57,59,True,heat,,,,484530007001,484530006082.0,484530006012.0,,,,0.5887109947089415,0.334721941,0.076567064,,,,0.1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,19529,313441,313441,209,https://twitter.com/DuskySprngfield/status/1539406732941832193,@DuskySprngfield,2022-06-22T00:35:40.000Z,Summer solstice with actual rays of sunshine Nick & Nora ,,15,30.27009466793509,-97.7450493,1655876140,2022,6,22,0,35,40,True,sunshine,,,,484530001022,484530001012.0,,,,,0.9206856067835668,0.079314393,,,,,0.9,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}"
